,olympic_game,type,discipline,event,event_step,normal,team,group,licensed,country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
0,tokyo-2020,olympic,shooting,trap-mixed-team,trap-mixed-team_1,1,1,1,1,ESP,SMR,USA,SVK,JPN,AUS,AUS,SVK,CHN,GBR,ROC,ITA,USA,ROC,MEX,EGY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,tokyo-2020,olympic,shooting,50m-rifle-3-positions-women,50m-rifle-3-positions-women_1,1,1,1,1,SUI,ROC,ROC,NOR,USA,GER,SLO,SRB,CHN,CRO,JPN,NOR,USA,GBR,IND,POL,BLR,IRI,CHN,KOR,ITA,IRI,CUB,CZE,SRB,HUN,MGL,PUR,DEN,UZB,FRA,KOR,IND,MAS,EGY,AUS,INA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,tokyo-2020,olympic,shooting,50m-rifle-3-positions-men,50m-rifle-3-positions-men_1,1,1,1,1,CHN,ROC,SRB,NOR,CRO,CRO,BLR,UKR,NOR,HUN,CHN,USA,SVK,KAZ,POL,CZE,CZE,HUN,ITA,IRI,IND,UKR,SRB,KOR,LTU,USA,AUS,DEN,AUS,ITA,JPN,IND,MEX,ARG,OMA,TUR,JPN,EGY,VEN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,tokyo-2020,olympic,shooting,25m-rapid-fire-pistol-men,25m-rapid-fire-pistol-men_1,1,1,1,1,FRA,CUB,CHN,KOR,GER,CHN,FRA,JPN,UKR,PAK,ROC,CUB,GER,ITA,PAK,ITA,AUS,PER,EST,THA,AZE,USA,MGL,TUR,USA,COL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,tokyo-2020,olympic,shooting,10m-air-rifle-men,10m-air-rifle-men_1,1,1,1,1,USA,CHN,CHN,TUR,HUN,USA,SVK,ROC,IRI,ROC,NOR,KOR,AUT,CZE,BLR,CRO,TPE,MEX,CZE,JPN,AUS,NOR,POL,KOR,CRO,IND,ISR,LTU,UKR,AUS,SRB,IND,ARG,ITA,ITA,KAZ,JPN,SRB,HUN,UKR,BAN,EGY,VEN,PHI,EGY,KOS,AFG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,tokyo-2020,olympic,shooting,10m-air-rifle-women,10m-air-rifle-women_1,1,1,1,1,CHN,ROC,SUI,NOR,FRA,USA,KOR,KOR,ROU,ITA,SLO,GBR,ROC,USA,POL,IND,GER,CHN,NOR,HUN,SGP,DEN,IRI,BLR,MGL,TPE,BEL,DEN,SRB,IRI,CRO,JPN,UZB,JPN,INA,IND,CUB,EGY,ALG,ARG,CZE,AUS,BHU,SRB,AUS,NEP,BIH,KGZ,SRI,EOR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,tokyo-2020,olympic,shooting,trap-men,trap-men_1,1,1,1,1,CZE,CZE,GBR,MEX,CHN,KUW,KUW,ROC,ESP,ITA,SVK,USA,QAT,TPE,GER,EGY,THA,SMR,EGY,POR,AUS,CRO,GBR,USA,AUS,IRL,PER,CYP,JPN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,tokyo-2020,olympic,shooting,skeet-women,skeet-women_1,1,1,1,1,USA,ITA,CHN,THA,GER,ROC,CYP,UKR,FRA,USA,THA,MEX,SVK,CZE,ROC,MAR,CHN,ARG,POL,ITA,JPN,KAZ,CHI,BRN,AUS,KAZ,NZL,SEN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,tokyo-2020,olympic,shooting,trap-women,trap-women_1,1,1,1,1,SVK,USA,SMR,AUS,ITA,AUS,USA,ITA,POL,NZL,CHN,FRA,MEX,ESP,ROC,GBR,ROC,CHN,JPN,BUL,LBN,EGY,GUA,FIN,FRA,GUA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,tokyo-2020,olympic,shooting,10m-air-pistol-women,10m-air-pistol-women_1,1,1,1,1,ROC,BUL,CHN,UKR,CHN,GRE,FRA,FRA,MGL,IRI,BLR,IND,IND,TPE,AUT,KOR,SRB,ARM,LAT,GER,POL,THA,JPN,KOR,TUN,MLT,AUS,SUI,GER,MGL,GEO,CUB,SRB,HUN,ROC,ECU,ALB,USA,THA,EGY,EGY,TPE,BUL,JOR,ECU,AUS,CAN,MDA,USA,JPN,IRQ,YEM,MNE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
