,epreuve,normal,team,group,licensed,country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
alpine-skiing,Men's Downhill_1,1,1,1,1,1,SUI,FRA,AUT,CAN,NOR,ITA,SUI,AUT,AUT,SLO,FRA,0,Germany,USA,ITA,SUI,ESP,0,USA,USA,AUT,CAN,Germany,SLO,SUI,FRA,FRA,LIE,MON,ISR,IRL,CHI,UKR,BOL,KOS,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpine-skiing,Men's Downhill_2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NOR,0,0,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpine-skiing,Men's Super-G_1,1,1,1,1,1,AUT,USA,NOR,NOR,AUT,CAN,Germany,Germany,FRA,CAN,FRA,USA,Germany,SUI,USA,SUI,USA,ITA,0,SLO,ITA,AND,NOR,SLO,CZE,FRA,CHI,LIE,NOR,ISR,MON,UKR,CHN,SRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpine-skiing,Men's Super-G_2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpine-skiing,Men's Giant Slalom_1,1,1,1,1,1,SUI,SLO,FRA,USA,FRA,0,SUI,NOR,AND,CRO,AUT,USA,CAN,AUT,SVK,SVK,BUL,NLD,CZE,Germany,CRO,ISR,AUS,CAN,IRL,LAT,AUT,LUX,UZB,KOS,COL,ROU,CHN,HUN,MEX,CHN,POR,THA,ERI,PUR,MNE,CYP,TUR,KSA,IND,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpine-skiing,Men's Giant Slalom_2,1,1,1,1,1,0,0,0,0,FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpine-skiing,Men's Slalom_1,1,1,1,1,1,FRA,AUT,NOR,NOR,SUI,SUI,Germany,ITA,BUL,ROC,ITA,SUI,GBR,SUI,CRO,FRA,AUT,CRO,Germany,CRO,KOR,BEL,ISR,CAN,SVK,ROC,BIH,ALB,GRE,DNK,NOR,GEO,HUN,HAI,ROU,KAZ,KOS,LBN,POR,THA,MAD,MNE,SMR,PUR,TLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpine-skiing,Men's Alpine Combined_1,1,1,1,1,1,AUT,NOR,CAN,SUI,AUT,ISR,AUT,CAN,CAN,ITA,LIE,IRL,MON,UKR,KOS,CHN,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpine-skiing,Women's Downhill_1,1,1,1,1,1,SUI,ITA,ITA,Germany,ITA,SUI,AUT,AUT,0,FRA,ITA,AUT,FRA,NOR,SUI,SUI,USA,USA,AUT,ROC,USA,SLO,SLO,CAN,NZL,AUS,CZE,CZE,CZE,SRB,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpine-skiing,Women's Downhill_2,1,1,1,1,1,0,0,0,0,0,0,0,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpine-skiing,Women's Super-G_1,1,1,1,1,1,SUI,AUT,SUI,AUT,CZE,NOR,ITA,AUT,USA,ITA,FRA,SUI,SUI,CAN,Germany,FRA,ITA,ROC,FRA,AUT,USA,ITA,SLO,CAN,BIH,POL,USA,FRA,ARG,AND,AUS,ISL,CZE,ISR,MEX,CZE,UKR,SVK,SVK,CHN,CHN,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpine-skiing,Women's Giant Slalom_1,1,1,1,1,1,SWE,ITA,SUI,AUT,NOR,NOR,SLO,POL,SUI,SUI,SLO,USA,0,SVK,AUT,SUI,FRA,SLO,FRA,ITA,Germany,GBR,0,JPN,ROC,POL,ROC,CRO,ARG,POL,JPN,ROC,KOR,GEO,EST,BUL,MEX,MAS,UKR,CHN,MAD,CHI,POR,CHN,ROU,PER,SMR,TUR,KOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpine-skiing,Women's Giant Slalom_2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NOR,0,0,0,0,0,0,0,0,0,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpine-skiing,Women's Slalom_1,1,1,1,1,1,SVK,AUT,SUI,Germany,SLO,SUI,SUI,USA,SWE,SUI,SLO,AUT,CZE,AUT,NOR,CAN,CAN,Germany,FRA,BLR,GBR,0,CRO,SWE,CRO,USA,CAN,SWE,ITA,ITA,ROC,CZE,ROC,USA,JPN,ROC,FIN,ISL,KOR,HUN,ISR,GEO,MAD,PER,BIH,LBN,CHN,IRL,TUR,TPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpine-skiing,Women's Slalom_2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpine-skiing,Women's Alpine Combined_1,1,1,1,1,1,SUI,SUI,ITA,CZE,AUT,AUT,AUT,FRA,SLO,ROC,USA,AND,AUS,CZE,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpine-skiing,Mixed Team Parallel_1,1,4,6,1,1,AUT,Germany,NOR,USA,FRA,SUI,SLO,ITA,CAN,POL,ROC,SVK,SWE,CZE,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
